budget,original_language,revenue,runtime,vote_average,vote_count
237000000.0,en,2787965087.0,162.0,7.2,11800.0
300000000.0,en,961000000.0,169.0,6.9,4500.0
245000000.0,en,880674609.0,148.0,6.3,4466.0
250000000.0,en,1084939099.0,165.0,7.6,9106.0
260000000.0,en,284139100.0,132.0,6.1,2124.0
258000000.0,en,890871626.0,139.0,5.9,3576.0
260000000.0,en,591794936.0,100.0,7.4,3330.0
280000000.0,en,1405403694.0,141.0,7.3,6767.0
250000000.0,en,933959197.0,153.0,7.4,5293.0
250000000.0,en,873260194.0,151.0,5.7,7004.0
270000000.0,en,391081192.0,154.0,5.4,1400.0
200000000.0,en,586090727.0,106.0,6.1,2965.0
200000000.0,en,1065659812.0,151.0,7.0,5246.0
255000000.0,en,89289910.0,149.0,5.9,2311.0
225000000.0,en,662845518.0,143.0,6.5,6359.0
225000000.0,en,419651413.0,150.0,6.3,1630.0
220000000.0,en,1519557910.0,143.0,7.4,11776.0
380000000.0,en,1045713802.0,136.0,6.4,4948.0
225000000.0,en,624026776.0,106.0,6.2,4160.0
250000000.0,en,956019788.0,144.0,7.1,4760.0
215000000.0,en,752215857.0,136.0,6.5,6586.0
200000000.0,en,310669540.0,140.0,6.2,1398.0
250000000.0,en,958400000.0,161.0,7.6,4524.0
180000000.0,en,372234864.0,113.0,5.8,1303.0
207000000.0,en,550000000.0,187.0,6.6,2337.0
200000000.0,en,1845034188.0,194.0,7.5,7562.0
250000000.0,en,1153304495.0,147.0,7.1,7241.0
209000000.0,en,303025485.0,131.0,5.5,2114.0
150000000.0,en,1513528810.0,124.0,6.5,8662.0
200000000.0,en,1108561013.0,143.0,6.9,7604.0
200000000.0,en,783766341.0,127.0,6.7,4321.0
200000000.0,en,1215439994.0,130.0,6.8,8806.0
200000000.0,en,1025491110.0,108.0,6.4,4645.0
210000000.0,en,459359555.0,104.0,6.3,3525.0
200000000.0,en,743559607.0,104.0,7.0,3528.0
150000000.0,en,836297228.0,150.0,6.0,3138.0
210000000.0,en,1091405097.0,165.0,5.8,3095.0
200000000.0,en,491868548.0,130.0,5.7,3530.0
200000000.0,en,705717432.0,142.0,6.5,4179.0
170000000.0,en,400062763.0,125.0,6.3,2841.0
200000000.0,en,559852396.0,106.0,5.8,2033.0
200000000.0,en,219851172.0,114.0,5.1,2487.0
200000000.0,en,1066969703.0,103.0,7.6,4597.0
200000000.0,en,371353001.0,115.0,5.9,2463.0
190000000.0,en,1506249360.0,137.0,7.3,4176.0
200000000.0,en,531865000.0,116.0,6.7,5560.0
250000000.0,en,747862775.0,131.0,7.5,6032.0
190000000.0,en,467365246.0,132.0,7.4,4418.0
195000000.0,en,197687603.0,114.0,5.5,2598.0
105000000.0,en,351040419.0,143.0,7.3,3769.0
150000000.0,en,335154643.0,116.0,6.2,2317.0
180000000.0,en,407602906.0,131.0,6.7,4794.0
195000000.0,en,1123746996.0,154.0,6.1,3299.0
185000000.0,en,786636033.0,122.0,5.7,2495.0
175000000.0,en,331926147.0,93.0,6.6,1736.0
185000000.0,en,538983207.0,93.0,6.7,4641.0
185000000.0,en,343471816.0,122.0,6.6,2568.0
180000000.0,en,521311860.0,98.0,7.8,6296.0
140000000.0,en,258022233.0,91.0,6.1,783.0
200000000.0,en,769653595.0,158.0,5.6,4903.0
200000000.0,en,325233863.0,96.0,6.6,1095.0
176000003.0,en,183987723.0,124.0,5.2,2768.0
180000000.0,en,356743061.0,109.0,5.5,2430.0
180000000.0,en,748806957.0,143.0,6.7,2629.0
178000000.0,en,543934787.0,144.0,6.4,4721.0
185000000.0,en,1004558444.0,152.0,8.2,12002.0
175000000.0,en,735099082.0,96.0,7.7,6870.0
175000000.0,en,381509870.0,94.0,6.0,1423.0
140000000.0,en,585174222.0,126.0,7.4,8776.0
170000000.0,en,185770160.0,126.0,7.0,2141.0
170000000.0,en,222104681.0,106.0,5.1,1020.0
145000000.0,en,401128639.0,112.0,5.2,1387.0
175000000.0,en,745000000.0,123.0,5.9,7458.0
175000000.0,en,173000000.0,96.0,5.3,1151.0
178000000.0,en,370541256.0,113.0,7.6,4858.0
175000000.0,en,264218220.0,135.0,5.9,992.0
175000000.0,en,302469017.0,118.0,5.6,1962.0
175000000.0,en,857611174.0,94.0,8.0,6560.0
175000000.0,en,966550600.0,106.0,6.7,2892.0
200000000.0,en,623933331.0,124.0,6.6,6849.0
170000000.0,en,396600000.0,127.0,5.8,3118.0
180000000.0,en,758539785.0,97.0,7.0,4496.0
170000000.0,en,710644566.0,130.0,7.3,4410.0
27000000.0,en,0.0,109.0,4.8,34.0
175000000.0,en,150962475.0,119.0,5.9,1326.0
170000000.0,en,714766572.0,136.0,7.6,5764.0
165000000.0,en,752600867.0,93.0,6.0,1959.0
190000000.0,en,209154322.0,130.0,6.2,2846.0
165000000.0,en,652105443.0,102.0,7.8,6135.0
165000000.0,en,471222889.0,108.0,7.1,4570.0
165000000.0,en,305875730.0,100.0,6.4,1474.0
165000000.0,en,389681935.0,120.0,4.9,2491.0
165000000.0,en,494878759.0,98.0,7.5,4227.0
200000000.0,en,435000000.0,109.0,5.9,2143.0
170000000.0,en,773328629.0,121.0,7.9,9742.0
165000000.0,en,675120017.0,169.0,8.1,10867.0
160000000.0,en,825532764.0,148.0,8.1,13752.0
15000000.0,ja,77000000.0,120.0,6.5,143.0
250000000.0,en,1021103568.0,169.0,7.0,8297.0
38000000.0,en,207283925.0,106.0,6.6,3428.0
150000000.0,en,333932083.0,166.0,7.3,3292.0
160000000.0,en,353624124.0,132.0,7.1,5181.0
160000000.0,en,653428261.0,137.0,6.6,3984.0
150000000.0,en,215283742.0,109.0,5.8,1470.0
160000000.0,en,181674817.0,99.0,5.5,583.0
170000000.0,en,299370084.0,113.0,6.5,1725.0
160000000.0,en,798958165.0,93.0,6.0,2278.0
160000000.0,en,433677183.0,123.0,6.3,2268.0
155000000.0,en,440603537.0,126.0,5.8,3631.0
155000000.0,en,415686217.0,113.0,6.2,1514.0
140000000.0,en,449220945.0,183.0,6.6,1791.0
150000000.0,en,709709780.0,144.0,6.6,4040.0
155000000.0,en,167298192.0,175.0,5.6,927.0
150000000.0,en,938212738.0,138.0,7.4,5494.0
150000000.0,en,895921036.0,157.0,7.5,5608.0
150000000.0,en,624029371.0,92.0,6.2,2961.0
150000000.0,en,585349010.0,101.0,6.9,4853.0
150000000.0,en,474968763.0,115.0,6.7,3624.0
150000000.0,en,623722818.0,111.0,7.5,4369.0
150000000.0,en,374218673.0,140.0,7.5,7359.0
150000000.0,en,603900354.0,89.0,6.2,1810.0
150000000.0,en,413106170.0,105.0,5.9,1971.0
150000000.0,en,373062864.0,107.0,6.2,4021.0
150000000.0,en,424988211.0,129.0,6.4,3096.0
150000000.0,en,1274219009.0,102.0,7.3,5295.0
150000000.0,en,738599701.0,138.0,6.7,3443.0
170000000.0,en,644571402.0,112.0,6.8,4755.0
150000000.0,en,378858340.0,120.0,7.2,9427.0
150000000.0,en,356613439.0,138.0,6.5,2129.0
150000000.0,en,449326618.0,115.0,6.6,6525.0
150000000.0,en,309979994.0,98.0,6.3,1750.0
150000000.0,en,292817841.0,88.0,5.1,510.0
150000000.0,en,301000000.0,99.0,5.5,1431.0
150000000.0,en,245527149.0,113.0,5.7,2320.0
150000000.0,en,682330139.0,131.0,7.1,3224.0
150000000.0,en,0.0,102.0,5.5,549.0
150000000.0,en,287594577.0,91.0,5.7,1171.0
150000000.0,en,665692281.0,91.0,6.7,1880.0
150000000.0,en,318502923.0,103.0,4.7,1151.0
150000000.0,en,397850012.0,126.0,6.5,2028.0
150000000.0,en,205366737.0,131.0,6.4,1891.0
150000000.0,en,38992758.0,88.0,5.5,199.0
149000000.0,en,64459316.0,85.0,6.0,874.0
150000000.0,en,128388320.0,111.0,5.9,954.0
145000000.0,en,272912430.0,92.0,6.7,843.0
175000000.0,en,497409852.0,163.0,6.9,2759.0
145000000.0,en,746921274.0,93.0,6.4,1808.0
140000000.0,en,431971116.0,133.0,5.8,1092.0
144000000.0,en,229147509.0,116.0,5.3,2142.0
140000000.0,en,553799566.0,151.0,6.4,2482.0
140000000.0,en,441818803.0,88.0,6.0,3114.0
70000000.0,en,195735876.0,115.0,5.5,841.0
145000000.0,en,521170825.0,95.0,6.7,1603.0
145000000.0,en,694713380.0,133.0,6.8,3972.0
145000000.0,en,306941670.0,97.0,7.1,1922.0
100000000.0,en,202026112.0,90.0,5.9,627.0
140000000.0,en,456758981.0,154.0,7.3,1895.0
140000000.0,en,268031828.0,150.0,5.6,1921.0
150000000.0,en,385680446.0,127.0,7.4,4518.0
139000000.0,en,821708551.0,121.0,6.8,5265.0
145000000.0,en,609123048.0,102.0,7.6,3106.0
140000000.0,en,150680864.0,127.0,5.3,1277.0
135000000.0,en,76932943.0,121.0,4.9,331.0
130000000.0,en,185258983.0,163.0,7.0,2811.0
140000000.0,en,285444603.0,127.0,6.3,767.0
137000000.0,en,245360480.0,138.0,5.3,1533.0
130000000.0,en,371876278.0,110.0,5.4,3025.0
130000000.0,en,119269486.0,124.0,5.7,434.0
137000000.0,en,85131830.0,106.0,5.9,433.0
140000000.0,en,370569774.0,124.0,6.6,7047.0
135000000.0,en,361832400.0,128.0,6.0,862.0
150000000.0,en,212011111.0,138.0,6.9,790.0
120000000.0,en,829000000.0,115.0,6.1,2553.0
130000000.0,en,150406466.0,100.0,5.8,373.0
150000000.0,en,163712074.0,114.0,6.1,3021.0
140000000.0,en,183345589.0,120.0,6.0,1000.0
135000000.0,en,532950503.0,156.0,7.3,6396.0
135000000.0,en,282570682.0,96.0,6.1,1074.0
135000000.0,en,245724603.0,107.0,6.6,2051.0
132000000.0,en,373552094.0,92.0,6.5,1346.0
70000000.0,en,442824138.0,115.0,7.3,2888.0
130000000.0,en,631744560.0,90.0,6.9,3145.0
130000000.0,en,519311965.0,117.0,7.0,5880.0
130000000.0,en,847423452.0,146.0,7.4,6495.0
135000000.0,en,368871007.0,94.0,6.8,1519.0
132000000.0,en,591739379.0,116.0,6.2,2322.0
130000000.0,en,273339556.0,147.0,6.3,1564.0
130000000.0,en,554987477.0,90.0,6.4,451.0
110000000.0,en,293329073.0,100.0,6.2,2093.0
125000000.0,en,362637473.0,139.0,5.6,2350.0
130000000.0,en,371940071.0,107.0,6.7,2061.0
130000000.0,en,789804554.0,141.0,7.7,5877.0
130000000.0,en,49554002.0,165.0,6.3,694.0
130000000.0,en,243843127.0,100.0,5.0,2532.0
127500000.0,en,354248063.0,82.0,6.2,542.0
127000000.0,en,349424282.0,97.0,6.1,1851.0
130000000.0,en,321887208.0,95.0,6.7,1918.0
125000000.0,en,976475550.0,152.0,7.5,7006.0
130000000.0,en,61648500.0,96.0,5.4,1260.0
140000000.0,en,655011224.0,143.0,7.5,6985.0
